混合团体10米气步枪,锴,布基纳法索🇧🇫,珍妮弗,独立的奥林匹克运动员,彩虹岛吧打酱油,中国🇨🇳
女子双人3米板,锴,布基纳法索🇧🇫,珍妮弗,独立的奥林匹克运动员,和男朋友睡觉的男大妈,南非🇿🇦
女子公路自行车个人计时赛,大kk,美国🇺🇸,韶华纸上停,中国🇨🇳,和男朋友睡觉的男大妈,南非🇿🇦
男子公路自行车个人计时赛,郑亲吻,所罗门群岛🇸🇧,数字南,美国🇺🇸,彩虹岛吧打酱油,中国🇨🇳
女子柔道48公斤级,大kk,美国🇺🇸,锴,布基纳法索🇧🇫,雨子成说,中国🇨🇳
男子柔道60公斤级,彩虹岛吧打酱油,中国🇨🇳,澳洲瑟瑟,澳大利亚🇦🇺,雨子成说,中国🇨🇳
男子七人制橄榄球,和男朋友睡觉的男大妈,南非🇿🇦,大kk,美国🇺🇸,丑芊,梵蒂冈🇻🇦
男子400米自由泳,数字南,美国🇺🇸,韶华纸上停,中国🇨🇳,郑亲吻,所罗门群岛🇸🇧
女子400米自由泳,澳洲瑟瑟,澳大利亚🇦🇺,和男朋友睡觉的男大妈,南非🇿🇦,数字南,美国🇺🇸
女子4X100米自由泳,郑亲吻,所罗门群岛🇸🇧,韶华纸上停,中国🇨🇳,金满贯背篓少年王发,圣文森特和格林纳丁斯🇻🇨
女子个人重剑,锴,布基纳法索🇧🇫,丑芊,梵蒂冈🇻🇦,金满贯背篓少年王发,圣文森特和格林纳丁斯🇻🇨
男子4X100米自由泳,彩虹岛吧打酱油,中国🇨🇳,数字南,美国🇺🇸,和男朋友睡觉的男大妈,南非🇿🇦
男子个人佩剑,大kk,美国🇺🇸,韶华纸上停,中国🇨🇳,锴,布基纳法索🇧🇫
男子10米气步枪,巴黎奥运冠军王昶,马达加斯加🇲🇬,雅兰,英国🇬🇧,艺迪,中国🇨🇳
女子10米气手枪,喵喵,马来西亚🇲🇾,和男朋友干饭的男大妈,南非🇿🇦,唯爱粥熏,危地马拉🇬🇹
女子山地自行车越野赛,韶华纸上停,中国🇨🇳,鹿,中国🇨🇳,解语含笑,圣文森特和格林纳丁斯🇻🇨
男子柔道66公斤级,锴,布基纳法索🇧🇫,和男朋友干饭的男大妈,南非🇿🇦,巴黎奥运冠军王昶,马达加斯加🇲🇬
女子柔道52公斤级,Juvexo,中国🇨🇳,和男朋友干饭的男大妈,南非🇿🇦,巴黎奥运冠军王昶,马达加斯加🇲🇬
滑板女子街式赛,dato,黑山🇲🇪,日本天团死死死,朝鲜🇰🇵,数字南,美属维尔京群岛🇻🇮
女子射箭团体赛,巴黎奥运冠军王昶,马达加斯加🇲🇬,韩馨蕴,锦州,雨子成说,中国🇨🇳
女子皮划艇激流回旋单人划艇,郑亲吻,所罗门群岛🇸🇧,Juvexo,中国🇨🇳,珍妮弗,苏格兰
男子400米个人混合泳,Fouzia,摩洛哥🇲🇦,似水流年,西班牙🇪🇸,日本天团死死死,朝鲜🇰🇵
女子100米蝶泳,Juvexo,中国🇨🇳,艺迪,中国🇨🇳,葱姜蒜的爹,阿根廷🇦🇷
男子100米蛙泳,张文静之歌,难民,郑亲吻,所罗门群岛🇸🇧,金满贯背篓少年王发,圣文森特和格林纳丁斯🇻🇨
女子个人花剑,似水流年,西班牙🇪🇸,数字南,美属维尔京群岛🇻🇮,美芊,王曦雨
男子个人重剑,无钱牛马,英国🇬🇧,喵喵,马来西亚🇲🇾,爱斯基摩人不爱吃雪糕,多米尼加🇩🇴
女子10米气步枪,南北南南,英国🇬🇧,和男朋友吵架的男大妈,南非🇿🇦,唯爱粥熏,危地马拉🇬🇹
男子双人10米跳台跳水,忆水寒,吉布提🇩🇯,锴,布基纳法索🇧🇫,中国,美国🇺🇸
男子10米气步枪,韶华纸上停,中国🇨🇳,金主爱,朝鲜🇰🇵,唐纳德·特朗普,中国🇨🇳
马术三项团体赛,郑亲吻,所罗门群岛🇸🇧,金满贯背篓少年王发,圣文森特和格林纳丁斯🇻🇨,葱姜蒜的爹,阿根廷🇦🇷
马术三项个人赛,张文静之歌,难民,郑亲吻,所罗门群岛🇸🇧,南北南南,英国🇬🇧
男子山地自行车越野赛,波斯科维奇,塞尔维亚🇷🇸,郑亲吻,所罗门群岛🇸🇧,Grigor Dimitrov,保加利亚🇧🇬
女子柔道57公斤级,薄荷味大叔,阿尔及利亚🇩🇿,数字南,美属萨摩亚🇦🇸,很神秘的神秘力量,哈萨克斯坦🇰🇿
男子柔道73公斤级,韶华纸上停,中国🇨🇳,锴,布基纳法索🇧🇫,金满贯背篓少年王发,圣文森特和格林纳丁斯🇻🇨
男子滑板街式赛,很神秘的神秘力量,哈萨克斯坦🇰🇿,爱斯基摩人不爱吃雪糕,乌克兰🇺🇦,唐纳德·特朗普,中国🇨🇳
男子射箭团体赛,薄荷味大叔,阿尔及利亚🇩🇿,澳洲瑟瑟,澳大利亚🇦🇺,Juvexo,中国🇨🇳
皮划男子艇激流回旋单人划艇,澳洲瑟瑟,澳大利亚🇦🇺,南北南南,英国🇬🇧,巴黎奥运冠军王昶,土耳其🇹🇷
男子竞技体操团体赛,数字南,美属萨摩亚🇦🇸,韶华纸上停,中国🇨🇳,安美惠,日本🇯🇵
