女子400米个人混合泳,郑亲吻,所罗门群岛🇸🇧,澳洲瑟瑟,澳大利亚🇦🇺,南北南南,英国🇬🇧
男子200米自由泳,蕴蕴生威,锦州,葱姜蒜的爹,阿根廷🇦🇷,唯爱粥熏,危地马拉🇬🇹
男子100米仰泳,雅兰,英国🇬🇧,波斯科维奇,塞尔维亚🇷🇸,Juvexo,中国🇨🇳
女子100米蛙泳,和男朋友吵架的男大妈,南非🇿🇦,澳洲瑟瑟,澳大利亚🇦🇺,似水流年,西班牙🇪🇸
女子200米自由泳,澳洲瑟瑟,澳大利亚🇦🇺,金满贯背篓少年王发,圣文森特和格林纳丁斯🇻🇨,很神秘的神秘力量,哈萨克斯坦🇰🇿
女子个人佩剑,似水流年,西班牙🇪🇸,费天王,西兰公国,巴黎奥运冠军王昶,土耳其🇹🇷
男子个人花剑,爱斯基摩人不爱吃雪糕,乌克兰🇺🇦,葱姜蒜的爹,阿根廷🇦🇷,金满贯背篓少年王发,圣文森特和格林纳丁斯🇻🇨
混合团体10米气手枪,韶华纸上停,中国🇨🇳,和男朋友土局的黑白大山,土库曼斯坦🇹🇲,Lady Gaga,中国🇨🇳
乒乓球混合双打,福尔加特蕴,锦州,呆头鹅,王曦雨,韶华纸上停,中国🇨🇳
男子多向飞碟,红妈,美国🇺🇸,郑亲吻,所罗门群岛🇸🇧,巴黎奥运冠军王昶,意大利🇮🇹
男子柔道81公斤级,澳洲瑟瑟,澳大利亚🇦🇺,张文静之歌,难民,安美惠,冲绳
女子柔道63公斤级,红妈,美国🇺🇸,贺丽锦,美国🇺🇸,郑亲吻,所罗门群岛🇸🇧
女子竞技体操团体赛,爱阳86,阿根廷🇦🇷,巴黎奥运冠军王昶,意大利🇮🇹,爱斯基摩人不爱吃雪糕,特立尼达和多巴哥🇹🇹
女子七人制橄榄球,南北南南,英国🇬🇧,苏狗暴毙,圣文森特和格林纳丁斯🇻🇨,爱阳86,阿根廷🇦🇷
女子重剑团体,薄荷味大叔,阿尔及利亚🇩🇿,雅兰,英国🇬🇧,香蕉味大婶,几内亚比绍🇬🇼
女子100米仰泳,安美惠,冲绳,爱阳86,阿根廷🇦🇷,苍风一目连,德国🇩🇪
男子800米自由泳,锴,布基纳法索🇧🇫,红妈,美国🇺🇸,呆头鹅,王曦雨
男子4X200米自由泳,澳洲瑟瑟,澳大利亚🇦🇺,香蕉味大婶,几内亚比绍🇬🇼,郑亲吻,所罗门群岛🇸🇧
女子铁人三项个人赛,西瓜味老妹,莫桑比克🇲🇿,虎啸蕴吟,锦州,薄荷味大叔,阿尔及利亚🇩🇿
男子铁人三项个人赛,郑亲吻,所罗门群岛🇸🇧,呆头鹅,王曦雨,数字南的六块腹肌,厄瓜多尔🇪🇨
女子双人10米跳台跳水,洋葱,阿根廷🇦🇷,苏狗暴毙,圣文森特和格林纳丁斯🇻🇨,数字南的六块腹肌,厄瓜多尔🇪🇨
男子四人双桨,呆头鹅,王曦雨,迪玛希,哈萨克斯坦🇰🇿,郑亲吻,所罗门群岛🇸🇧
女子四人双桨,迪玛希,哈萨克斯坦🇰🇿,韶华纸上停,中国🇨🇳,雅兰,英国🇬🇧,抠抠红妈,突尼斯🇹🇳,菲德尔·卡斯特罗,古巴🇨🇺,安美惠,冲绳
女子自由式小轮车公园赛,抠抠红妈,突尼斯🇹🇳,雅兰,英国🇬🇧,大嘴丽丽,英国🇬🇧
男子自由式小轮车公园赛,花猫,法国🇫🇷,大嘴丽丽,英国🇬🇧,西瓜味老妹,莫桑比克🇲🇿
女子多向飞碟,数字南的六块腹肌,厄瓜多尔🇪🇨,呆头鹅,王曦雨,无钱牛马,英国🇬🇧
女子柔道70公斤级,珍妮弗,格陵兰🇬🇱,呆头鹅,王曦雨,披头散发13,法国🇫🇷
男子柔道90公斤级,薄荷味大叔,阿尔及利亚🇩🇿,张文静之歌,难民,菲德尔·卡斯特罗,古巴🇨🇺
女子皮划艇激流回旋单人划艇,苏狗暴毙,圣文森特和格林纳丁斯🇻🇨,瓷娃娃iiii,美国🇺🇸,抠抠红妈,突尼斯🇹🇳,抠抠红妈,突尼斯🇹🇳,菲德尔·卡斯特罗,古巴🇨🇺,安美惠,冲绳
男子佩剑团体赛,似水流年,西班牙🇪🇸,薄荷味大叔,阿尔及利亚🇩🇿,抠抠红妈,突尼斯🇹🇳
女子100米自由泳,张文静之歌,难民,瓷娃娃iiii,美国🇺🇸,无钱牛马,英国🇬🇧
男子200米蝶泳,郑亲吻,所罗门群岛🇸🇧,锴,布基纳法索🇧🇫,西瓜味老妹,莫桑比克🇲🇿
女子1500米自由泳,无钱牛马,英国🇬🇧,大嘴丽丽,英国🇬🇧,穆罕默德,沙特阿拉伯🇸🇦
男子200米蛙泳,大嘴丽丽,英国🇬🇧,从东土大唐而来的野鸡,拉脱维亚🇱🇻,呆头鹅,王曦雨
男子100米自由泳,抠抠红妈,突尼斯🇹🇳,喵喵,马来西亚🇲🇾,菲德尔·卡斯特罗,古巴🇨🇺
男子20公里竞走,汉字东,吉尔吉斯斯坦🇰🇬,花猫,法国🇫🇷,刁琳宇,中国🇨🇳
女子20公里竞走,瓷娃娃iiii,美国🇺🇸,无钱牛马,英国🇬🇧,巴黎转运,塞尔维亚🇷🇸
男子50米步枪三姿,想吃红妈的蓝莓,智利🇨🇱,雨子成说,中国🇨🇳,男大妈消失的男朋友,南非🇿🇦
女子赛艇双人双桨,刁琳宇,中国🇨🇳,想吃红妈的蓝莓,智利🇨🇱,巴黎奥运冠军王昶,西班牙🇪🇸
男子赛艇双人双桨,韶华纸上停,中国🇨🇳,数字南,关岛🇬🇺,无钱牛马,英国🇬🇧
女子赛艇四人单桨,大嘴丽丽,英国🇬🇧,男大妈消失的男朋友,南非🇿🇦,韶华纸上停,中国🇨🇳
男子赛艇四人单桨,抠抠红妈,突尼斯🇹🇳,洋葱,阿根廷,呆头鹅,王曦雨
男子柔道100公斤级,数字南,关岛🇬🇺,澳洲瑟瑟,澳大利亚🇦🇺,男大妈消失的男朋友,南非🇿🇦
女子柔道78公斤级,想吃红妈的蓝莓,智利🇨🇱,汉字东,吉尔吉斯斯坦🇰🇬,奥运冠军张文静,委内瑞拉🇻🇪
男子皮划艇激流回旋单人皮艇,锴,布基纳法索🇧🇫,与红妈鼓瑟,委内瑞拉🇻🇪,反不动,蕴国
女子竞技体操全能,薄荷味大叔,阿尔及利亚🇩🇿,安美惠,冲绳,南北南南,英国🇬🇧
女子花剑团体赛,张文静之歌,难民,雨子成说,中国🇨🇳,洋葱,阿根廷🇦🇷
女子200米蝶泳,郑亲吻,所罗门群岛🇸🇧,蕴瓦泰克,波蕴斯卡,薄荷味大叔,阿尔及利亚🇩🇿
男子200米仰泳,披头散发13,法国🇫🇷,数字南,关岛🇬🇺,呆头鹅,王曦雨
女子200米蛙泳,洋葱,阿根廷🇦🇷,抠抠红妈,突尼斯🇹🇳,无钱牛马,英国🇬🇧
女子4X200米自由泳,韶华纸上停,中国🇨🇳,澳洲瑟瑟,澳大利亚🇦🇺,洋葱,阿根廷🇦🇷
女子50m步枪三姿,呆头鹅,王曦雨,北南北北,英国🇬🇧
男子双人3米板跳水,刁琳宇,中国🇨🇳,北南北北,英国🇬🇧,花猫,法国🇫🇷
男子赛艇双人单桨,雨子成说,中国🇨🇳,黑白大山的人鱼线,阿富汗🇦🇫,反不动,蕴国
赛艇女子双人单桨,雨子成说,中国🇨🇳,郑亲吻,所罗门群岛🇸🇧,大嘴丽丽,英国🇬🇧
男子轻量级双人双桨,郑亲吻,所罗门群岛🇸🇧,雨子成说,中国🇨🇳,花猫,法国🇫🇷
女子轻量级双人双桨,呆头鹅,王曦雨,张文静之歌,难民,反不动,蕴国
女子帆船49人FX级,北南北北,英国🇬🇧,抠抠红妈,突尼斯🇹🇳,猫,米其林王国
男子帆船49人级,反不动,蕴国,洋葱,阿根廷🇦🇷,郑亲吻,所罗门群岛🇸🇧
女子蹦床,抠抠红妈,突尼斯🇹🇳,大嘴丽丽,英国🇬🇧,无钱牛马,英国🇬🇧
马术团体场地障碍,抠抠红妈,突尼斯🇹🇳,大嘴丽丽,英国🇬🇧,无钱牛马,英国🇬🇧
羽毛球混双,猫,米其林王国,妓女,巴巴多斯🇧🇧,锴,佛得角🇨🇻
混合团体射箭,安美惠,冲绳,无钱牛马,英国🇬🇧,巴黎奥运冠军王昶,马达加斯加🇲🇬
女子柔道78公斤以上级,苏狗暴毙,圣文森特和格林纳丁斯🇻🇨,想睡数字南,墨西哥🇲🇽,刁琳宇,中国🇨🇳
男子柔道100公斤以上级,抠抠红妈,突尼斯🇹🇳,郑亲吻,所罗门群岛🇸🇧,黑白大山的人鱼线,阿富汗🇦🇫
网球混双,红妈,美国🇺🇸,北南北北,英国🇬🇧,数字南,波多黎各🇵🇷
男子团体重剑,雨子成说,中国🇨🇳,反不动,蕴国,大嘴丽丽,英国🇬🇧
男子蹦床,苏狗暴毙,圣文森特和格林纳丁斯🇻🇨,无钱牛马,英国🇬🇧,北南北北,英国🇬🇧
男子50m游泳,澳洲瑟瑟,澳大利亚🇦🇺,无钱牛马,英国🇬🇧,北南北北,英国🇬🇧
女子200m仰泳,苏狗暴毙,圣文森特和格林纳丁斯🇻🇨,雅思圆梦,中国台湾,澳洲瑟瑟,澳大利亚🇦🇺
男子200m混合泳,想睡数字南,墨西哥🇲🇽,黑白大山的人鱼线,阿富汗🇦🇫,郑亲吻,所罗门群岛🇸🇧
男子田径10000m,抠抠红妈,突尼斯🇹🇳,澳洲瑟瑟,澳大利亚🇦🇺,北南北北,英国🇬🇧
男子小轮车竞速,呆头鹅,王曦雨,郑亲吻,所罗门群岛🇸🇧,奥蕴冠军,韩馨蕴
女子小轮车竞速,呆头鹅,王曦雨,澳洲瑟瑟,澳大利亚🇦🇺,黑白大山的人鱼线 ,阿富汗🇦🇫
